,,,,,,,
,,,,,,,
,,,,Global Leaf blower,,,
,Key players ,Type,Engine type,Style,Power Source ,Application,Distribution channel 
,Kobalt Tools,Handheld,Two-cycle,"Corded
Cordless ",Gasoline,Residential,         Online
,Craftsman,Backpack,Four-cycle,,Battery,Commercial,E-commerce Portal
,Greenworks Tools,Walk behind,,,Electric,,Company Owned Portal
,ECHO Incorporated,,,,,,         Offline
,Troy-Bilt LLC,,,,,,Large Format Stores
,Henton & Chattell Ltd.,,,,,,Specialty Stores
,DEWALT,,,,,,
,Ryobi Limited,,,,,,
,STIHL Inc.,,,,,,
,WORX,,,,,,